,City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
114,Los Angeles,Hotel Indigo Los Angeles Downtown,"899 Francisco Street, Los Angeles, CA 90015",8.5,"(2,434)",£596total,Booking.com
115,Los Angeles,"Luxury, Hollywood Walk of Fame",Hollywood,7.8,(559),£588total,Booking.com
116,Los Angeles,Hilton Los Angeles Airport,"5711 West Century Boulevard, Los Angeles, CA 90045",7.5,"(5,527)",£487total,Booking.com
117,Los Angeles,The Hollywood Roosevelt,"7000 Hollywood Boulevard, Los Angeles, CA 90028",8.4,"(2,007)",£600total,Tripadvisor
118,Los Angeles,Beverly Hills Celebrity Home,Westside,9.2,(110),£840total,Booking.com
119,Belfast,The Fitzwilliam Hotel Belfast,"1-3 Great Victoria Street, Belfast, BT3 7HR",9.1,"(3,357)",£432total,Preferred Hotels & Resorts
120,Belfast,The Flint,"48 Howard Street, Belfast, BT2 7GE",9.3,"(4,366)",£256total,Booking.com
121,Belfast,Lwr Ormeau Guest House,"144 Ormeau Road, Belfast, BT7 1LU",8.0,(508),£160total,Booking.com
122,Belfast,Ultra Urban Belfast Corporate Apartments,Belfast City Centre,9.1,(358),£352total,Booking.com
123,Belfast,Maldron Hotel Belfast City,"20 Brunswick Street, Belfast, BT2 7GE",8.8,"(4,893)",£277total,Booking.com
124,Belfast,Clayton Hotel Belfast,"22-26 Ormeau Avenue, Belfast, BT2 8HS",8.2,"(3,493)",£303total,Booking.com
125,Belfast,Central Belfast Apartments: Salisbury,Belfast City Centre,8.7,(104),£285total,Booking.com
126,Belfast,Holiday Inn Belfast City Centre,"40 Hope Street, Belfast",8.7,"(4,251)",£249total,Booking.com
127,Belfast,Europa Hotel,"Great Victoria Street, Belfast, BT2 7AP",8.6,"(2,520)",£324total,Booking.com
128,Belfast,Perfect City Center Location / Free Parking / 4 Beds,Belfast City Centre,9.2,(25),£347total,Booking.com
129,Rome,Spanish Hills Collection - Luxury Suites & Jacuzzi,"Via Lombardia,30, 00187 Rome",9.0,(136),£264total,Booking.com
130,Rome,Unicum Roma Suites,"via Vittorio Spinazzola 3, 00164 Rome",9.3,(111),£301total,Booking.com
131,Rome,Stasera a casa da M.E.,"Via Tuscolana 268 Scala C Int 4, 181 Rome",9.2,(22),£229total,Booking.com
132,Rome,Enjoy Your Stay - Trastevere Apt,Historical Center,9.5,(19),£387total,Booking.com
133,Rome,Rome Winners Home,"Via Appia Nuova 465, 00181 Rome",9.0,(47),£241total,Booking.com
134,Rome,Hotel Diocleziano,"Via Gaeta 71, 00185 Rome",8.9,(661),£309total,Booking.com
135,Rome,Farnese House in Rome,Historical Center,9.5,(162),£510total,Booking.com
