,Unnamed: 0,Origin-Flight,Origin-Airport,Airline,Origin-Destination-Airport,Origin-Flight-Type,Origin-Flight-Duration,Return-Flight,Return-Airport,Return-Destination-Airport,Return-Flight-Type,Return-Flight-Duration
46,46,12:15 – 20:00,LHR Heathrow,Icelandair,MCO Orlando,1 stop,KEF,17:45 – 10:50 +1,MCO Orlando,LHR Heathrow,1 stop,KEF
47,47,10:00 – 14:45,LHR Heathrow,Virgin Atlantic,MCO Orlando,direct,9h 45m,17:40 – 06:45 +1,MCO Orlando,LHR Heathrow,direct,8h 05m
48,48,12:15 – 20:00,LHR Heathrow,Icelandair,MCO Orlando,1 stop,KEF,17:45 – 10:50 +1,MCO Orlando,LHR Heathrow,1 stop,KEF
49,49,12:05 – 16:55,LHR Heathrow,Finnair,MCO Orlando,direct,9h 50m,18:55 – 08:00 +1,MCO Orlando,LHR Heathrow,direct,8h 05m
50,50,12:05 – 16:55,LHR Heathrow,"Finnair, British Airways",MCO Orlando,direct,9h 50m,18:55 – 08:00 +1,MCO Orlando,LHR Heathrow,direct,8h 05m
51,51,20:40 – 20:00 +1,LHR Heathrow,Icelandair,MCO Orlando,1 stop,KEF,17:45 – 10:50 +1,MCO Orlando,LHR Heathrow,1 stop,KEF
52,52,08:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,14:05 – 06:20 +1,MCO Orlando,LHR Heathrow,1 stop,IAD
53,53,07:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,14:05 – 06:20 +1,MCO Orlando,LHR Heathrow,1 stop,IAD
54,54,06:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,14:05 – 06:20 +1,MCO Orlando,LHR Heathrow,1 stop,IAD
55,55,08:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,14:05 – 10:50 +1,MCO Orlando,LHR Heathrow,1 stop,IAD
56,56,08:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,16:55 – 10:00 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
57,57,07:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,16:55 – 10:00 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
58,58,06:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,16:55 – 10:00 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
59,59,08:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,12:20 – 07:55 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
60,60,07:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,12:20 – 07:55 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
61,61,12:15 – 20:00,LHR Heathrow,"Icelandair, Air France",MCO Orlando,1 stop,KEF,17:40 – 06:45 +1,MCO Orlando,LHR Heathrow,direct,8h 05m
62,62,11:30 – 14:30,LHR Heathrow,Virgin Atlantic,LAS McCarran,direct,11h 00m,16:20 – 10:05 +1,LAS McCarran,LHR Heathrow,direct,9h 45m
63,63,12:15 – 09:45 +1,LHR Heathrow,"Icelandair, Spirit Airlines",LAS McCarran,2 stops,"KEF, MCO",22:30 – 10:50 +2,LAS McCarran,LHR Heathrow,3 stops,"FLL, MCO, ..."
64,64,11:30 – 14:30,LHR Heathrow,KLM,LAS McCarran,direct,11h 00m,16:20 – 10:05 +1,LAS McCarran,LHR Heathrow,direct,9h 45m
65,65,11:30 – 14:30,LHR Heathrow,Air France,LAS McCarran,direct,11h 00m,16:20 – 10:05 +1,LAS McCarran,LHR Heathrow,direct,9h 45m
66,66,11:30 – 14:30,LHR Heathrow,"KLM, Air France",LAS McCarran,direct,11h 00m,16:20 – 10:05 +1,LAS McCarran,LHR Heathrow,direct,9h 45m
67,67,16:10 – 19:00,LHR Heathrow,Finnair,LAS McCarran,direct,10h 50m,20:50 – 14:50 +1,LAS McCarran,LHR Heathrow,direct,10h 00m
68,68,16:10 – 19:00,LHR Heathrow,Finnair,LAS McCarran,direct,10h 50m,20:50 – 14:50 +1,LAS McCarran,LHR Heathrow,direct,10h 00m
69,69,16:10 – 19:00,LHR Heathrow,Finnair,LAS McCarran,direct,10h 50m,20:50 – 14:50 +1,LAS McCarran,LHR Heathrow,direct,10h 00m
70,70,16:10 – 19:00,LHR Heathrow,Finnair,LAS McCarran,direct,10h 50m,13:03 – 12:35 +1,LAS McCarran,LHR Heathrow,1 stop,LAX
71,71,14:00 – 23:46,LHR Heathrow,Finnair,LAS McCarran,1 stop,JFK,20:50 – 14:50 +1,LAS McCarran,LHR Heathrow,direct,10h 00m
72,72,11:30 – 14:30,LHR Heathrow,Virgin Atlantic,LAS McCarran,direct,11h 00m,14:10 – 10:45 +1,LAS McCarran,LHR Heathrow,1 stop,ATL
73,73,11:30 – 14:30,LHR Heathrow,Virgin Atlantic,LAS McCarran,direct,11h 00m,18:55 – 15:55 +1,LAS McCarran,LHR Heathrow,1 stop,LAX
74,74,11:30 – 14:30,LHR Heathrow,Virgin Atlantic,LAS McCarran,direct,11h 00m,14:00 – 11:05 +1,LAS McCarran,LHR Heathrow,1 stop,LAX
75,75,11:30 – 14:30,LHR Heathrow,Virgin Atlantic,LAS McCarran,direct,11h 00m,12:25 – 09:50 +1,LAS McCarran,LHR Heathrow,1 stop,JFK
76,76,11:30 – 14:30,LHR Heathrow,Virgin Atlantic,LAS McCarran,direct,11h 00m,22:10 – 20:05 +1,LAS McCarran,LHR Heathrow,1 stop,JFK
77,77,11:30 – 14:30,LHR Heathrow,Virgin Atlantic,LAS McCarran,direct,11h 00m,10:25 – 09:00 +1,LAS McCarran,LHR Heathrow,1 stop,BOS
78,78,21:10 – 09:15 +1,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,12:05 – 16:05,DLM Dalaman,LHR Heathrow,1 stop,IST
79,79,21:10 – 09:15 +1,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,15:35 – 19:45,DLM Dalaman,LHR Heathrow,1 stop,IST
80,80,07:00 – 20:00,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,12:05 – 16:05,DLM Dalaman,LHR Heathrow,1 stop,IST
81,81,07:00 – 20:00,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,15:35 – 19:45,DLM Dalaman,LHR Heathrow,1 stop,IST
82,82,21:10 – 09:15 +1,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,10:05 – 16:05,DLM Dalaman,LHR Heathrow,1 stop,IST
83,83,21:10 – 11:15 +1,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,12:05 – 16:05,DLM Dalaman,LHR Heathrow,1 stop,IST
84,84,21:10 – 11:15 +1,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,15:35 – 19:45,DLM Dalaman,LHR Heathrow,1 stop,IST
85,85,21:10 – 09:15 +1,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,10:05 – 14:35,DLM Dalaman,LHR Heathrow,1 stop,IST
86,86,21:10 – 09:15 +1,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,15:35 – 22:25,DLM Dalaman,LHR Heathrow,1 stop,IST
87,87,07:00 – 20:00,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,10:05 – 16:05,DLM Dalaman,LHR Heathrow,1 stop,IST
88,88,17:40 – 09:15 +1,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,12:05 – 16:05,DLM Dalaman,LHR Heathrow,1 stop,IST
89,89,17:40 – 09:15 +1,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,15:35 – 19:45,DLM Dalaman,LHR Heathrow,1 stop,IST
90,90,21:10 – 09:15 +1,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,12:05 – 19:45,DLM Dalaman,LHR Heathrow,1 stop,IST
91,91,07:00 – 20:00,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,15:35 – 22:25,DLM Dalaman,LHR Heathrow,1 stop,IST
92,92,21:10 – 11:15 +1,LHR Heathrow,Turkish Airlines,DLM Dalaman,1 stop,IST,10:05 – 16:05,DLM Dalaman,LHR Heathrow,1 stop,IST
93,93,17:55 – 15:25 +1,LHR Heathrow,Lufthansa,LAX Los Angeles,1 stop,MUC,17:15 – 17:05 +1,LAX Los Angeles,LHR Heathrow,1 stop,MUC
94,94,10:40 – 13:55,LHR Heathrow,Virgin Atlantic,LAX Los Angeles,direct,11h 15m,21:40 – 15:55 +1,LAX Los Angeles,LHR Heathrow,direct,10h 15m
95,95,16:35 – 19:50,LHR Heathrow,Virgin Atlantic,LAX Los Angeles,direct,11h 15m,21:40 – 15:55 +1,LAX Los Angeles,LHR Heathrow,direct,10h 15m
96,96,16:35 – 19:50,LHR Heathrow,Virgin Atlantic,LAX Los Angeles,direct,11h 15m,16:45 – 11:05 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
97,97,10:40 – 13:55,LHR Heathrow,Virgin Atlantic,LAX Los Angeles,direct,11h 15m,16:45 – 11:05 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
98,98,10:40 – 13:55,LHR Heathrow,Air France,LAX Los Angeles,direct,11h 15m,21:40 – 15:55 +1,LAX Los Angeles,LHR Heathrow,direct,10h 15m
99,99,16:35 – 19:50,LHR Heathrow,Air France,LAX Los Angeles,direct,11h 15m,21:40 – 15:55 +1,LAX Los Angeles,LHR Heathrow,direct,10h 15m
100,100,16:35 – 19:50,LHR Heathrow,KLM,LAX Los Angeles,direct,11h 15m,21:40 – 15:55 +1,LAX Los Angeles,LHR Heathrow,direct,10h 15m
101,101,10:40 – 13:55,LHR Heathrow,KLM,LAX Los Angeles,direct,11h 15m,21:40 – 15:55 +1,LAX Los Angeles,LHR Heathrow,direct,10h 15m
102,102,16:35 – 19:50,LHR Heathrow,Air France,LAX Los Angeles,direct,11h 15m,16:45 – 11:05 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
103,103,10:40 – 13:55,LHR Heathrow,KLM,LAX Los Angeles,direct,11h 15m,16:45 – 11:05 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
104,104,10:40 – 13:55,LHR Heathrow,Air France,LAX Los Angeles,direct,11h 15m,16:45 – 11:05 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
105,105,16:35 – 19:50,LHR Heathrow,KLM,LAX Los Angeles,direct,11h 15m,16:45 – 11:05 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
106,106,10:15 – 13:40,LHR Heathrow,Finnair,LAX Los Angeles,direct,11h 25m,18:15 – 12:35 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
107,107,10:15 – 13:40,LHR Heathrow,"Finnair, Iberia",LAX Los Angeles,direct,11h 25m,18:15 – 12:35 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
108,108,10:15 – 13:40,LHR Heathrow,"Finnair, British Airways",LAX Los Angeles,direct,11h 25m,18:15 – 12:35 +1,LAX Los Angeles,LHR Heathrow,direct,10h 20m
109,109,12:15 – 20:00,LHR Heathrow,Icelandair,MCO Orlando,1 stop,KEF,17:45 – 10:50 +1,MCO Orlando,LHR Heathrow,1 stop,KEF
110,110,10:00 – 14:45,LHR Heathrow,Virgin Atlantic,MCO Orlando,direct,9h 45m,17:40 – 06:45 +1,MCO Orlando,LHR Heathrow,direct,8h 05m
111,111,12:15 – 20:00,LHR Heathrow,Icelandair,MCO Orlando,1 stop,KEF,17:45 – 10:50 +1,MCO Orlando,LHR Heathrow,1 stop,KEF
112,112,12:05 – 16:55,LHR Heathrow,Finnair,MCO Orlando,direct,9h 50m,18:55 – 08:00 +1,MCO Orlando,LHR Heathrow,direct,8h 05m
113,113,12:05 – 16:55,LHR Heathrow,"Finnair, British Airways",MCO Orlando,direct,9h 50m,18:55 – 08:00 +1,MCO Orlando,LHR Heathrow,direct,8h 05m
114,114,20:40 – 20:00 +1,LHR Heathrow,Icelandair,MCO Orlando,1 stop,KEF,17:45 – 10:50 +1,MCO Orlando,LHR Heathrow,1 stop,KEF
115,115,08:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,14:05 – 06:20 +1,MCO Orlando,LHR Heathrow,1 stop,IAD
116,116,07:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,14:05 – 06:20 +1,MCO Orlando,LHR Heathrow,1 stop,IAD
117,117,06:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,14:05 – 06:20 +1,MCO Orlando,LHR Heathrow,1 stop,IAD
118,118,08:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,14:05 – 10:50 +1,MCO Orlando,LHR Heathrow,1 stop,IAD
119,119,08:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,16:55 – 10:00 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
120,120,07:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,16:55 – 10:00 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
121,121,06:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,16:55 – 10:00 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
122,122,08:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,12:20 – 07:55 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
123,123,07:30 – 17:45,LHR Heathrow,Lufthansa,MCO Orlando,1 stop,FRA,12:20 – 07:55 +1,MCO Orlando,LHR Heathrow,1 stop,ORD
124,124,12:15 – 20:00,LHR Heathrow,"Icelandair, Air France",MCO Orlando,1 stop,KEF,17:40 – 06:45 +1,MCO Orlando,LHR Heathrow,direct,8h 05m
125,125,21:15 – 22:35,LHR Heathrow,British Airways,DUB Dublin,direct,1h 20m,20:40 – 21:55,DUB Dublin,LHR Heathrow,direct,1h 15m
126,126,06:35 – 08:05,LHR Heathrow,British Airways,DUB Dublin,direct,1h 30m,20:40 – 21:55,DUB Dublin,LHR Heathrow,direct,1h 15m
127,127,21:15 – 22:35,LHR Heathrow,British Airways,DUB Dublin,direct,1h 20m,17:50 – 19:20,DUB Dublin,LHR Heathrow,direct,1h 30m
128,128,21:15 – 22:35,LHR Heathrow,British Airways,DUB Dublin,direct,1h 20m,09:40 – 11:15,DUB Dublin,LHR Heathrow,direct,1h 35m
129,129,21:15 – 22:35,LHR Heathrow,British Airways,DUB Dublin,direct,1h 20m,07:10 – 08:45,DUB Dublin,LHR Heathrow,direct,1h 35m
130,130,06:35 – 08:05,LHR Heathrow,British Airways,DUB Dublin,direct,1h 30m,17:50 – 19:20,DUB Dublin,LHR Heathrow,direct,1h 30m
131,131,06:35 – 08:05,LHR Heathrow,British Airways,DUB Dublin,direct,1h 30m,09:40 – 11:15,DUB Dublin,LHR Heathrow,direct,1h 35m
132,132,06:35 – 08:05,LHR Heathrow,British Airways,DUB Dublin,direct,1h 30m,07:10 – 08:45,DUB Dublin,LHR Heathrow,direct,1h 35m
133,133,18:20 – 19:45,LHR Heathrow,British Airways,DUB Dublin,direct,1h 25m,20:40 – 21:55,DUB Dublin,LHR Heathrow,direct,1h 15m
134,134,21:15 – 22:35,LHR Heathrow,"British Airways, Aer Lingus",DUB Dublin,direct,1h 20m,15:30 – 16:50,DUB Dublin,LHR Heathrow,direct,1h 20m
135,135,21:15 – 22:35,LHR Heathrow,"British Airways, Aer Lingus",DUB Dublin,direct,1h 20m,14:10 – 15:30,DUB Dublin,LHR Heathrow,direct,1h 20m
136,136,21:15 – 22:35,LHR Heathrow,"British Airways, Aer Lingus",DUB Dublin,direct,1h 20m,10:00 – 11:20,DUB Dublin,LHR Heathrow,direct,1h 20m
137,137,21:15 – 22:35,LHR Heathrow,"British Airways, Aer Lingus",DUB Dublin,direct,1h 20m,17:40 – 19:00,DUB Dublin,LHR Heathrow,direct,1h 20m
138,138,06:35 – 08:05,LHR Heathrow,"British Airways, Aer Lingus",DUB Dublin,direct,1h 30m,10:00 – 11:20,DUB Dublin,LHR Heathrow,direct,1h 20m
139,139,06:35 – 08:05,LHR Heathrow,"British Airways, Aer Lingus",DUB Dublin,direct,1h 30m,15:30 – 16:50,DUB Dublin,LHR Heathrow,direct,1h 20m
140,140,08:05 – 11:35,LHR Heathrow,British Airways,BUD Ferenc Liszt Intl,direct,2h 30m,12:25 – 14:15,BUD Ferenc Liszt Intl,LHR Heathrow,direct,2h 50m
141,141,08:05 – 11:35,LHR Heathrow,British Airways,BUD Ferenc Liszt Intl,direct,2h 30m,12:25 – 14:15,BUD Ferenc Liszt Intl,LHR Heathrow,direct,2h 50m
142,142,17:50 – 23:05,LHR Heathrow,"KLM, Air France",BUD Ferenc Liszt Intl,1 stop,AMS,17:35 – 21:25,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,CDG
143,143,08:05 – 11:35,LHR Heathrow,"British Airways, LOT",BUD Ferenc Liszt Intl,direct,2h 30m,09:45 – 17:20,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,WAW
144,144,08:05 – 11:35,LHR Heathrow,"British Airways, Air France",BUD Ferenc Liszt Intl,direct,2h 30m,17:35 – 21:25,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,CDG
145,145,08:05 – 11:35,LHR Heathrow,"British Airways, LOT",BUD Ferenc Liszt Intl,direct,2h 30m,19:50 – 09:35 +1,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,WAW
146,146,08:05 – 11:35,LHR Heathrow,"British Airways, LOT",BUD Ferenc Liszt Intl,direct,2h 30m,12:15 – 17:20,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,WAW
147,147,08:05 – 11:35,LHR Heathrow,"British Airways, Air France",BUD Ferenc Liszt Intl,direct,2h 30m,05:50 – 13:45,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,CDG
148,148,10:25 – 19:15,LHR Heathrow,"LOT, British Airways",BUD Ferenc Liszt Intl,1 stop,WAW,12:25 – 14:15,BUD Ferenc Liszt Intl,LHR Heathrow,direct,2h 50m
149,149,17:35 – 23:10,LHR Heathrow,"Air France, British Airways",BUD Ferenc Liszt Intl,1 stop,CDG,12:25 – 14:15,BUD Ferenc Liszt Intl,LHR Heathrow,direct,2h 50m
150,150,17:35 – 23:10,LHR Heathrow,"Air France, KLM",BUD Ferenc Liszt Intl,1 stop,CDG,17:05 – 20:50,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,AMS
151,151,17:05 – 23:05,LHR Heathrow,"KLM, Air France",BUD Ferenc Liszt Intl,1 stop,AMS,17:35 – 21:25,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,CDG
152,152,17:35 – 23:10,LHR Heathrow,"Air France, KLM",BUD Ferenc Liszt Intl,1 stop,CDG,12:50 – 16:05,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,AMS
153,153,17:35 – 23:10,LHR Heathrow,"Air France, KLM",BUD Ferenc Liszt Intl,1 stop,CDG,12:50 – 17:00,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,AMS
154,154,17:35 – 23:10,LHR Heathrow,"Air France, KLM",BUD Ferenc Liszt Intl,1 stop,CDG,06:30 – 10:45,BUD Ferenc Liszt Intl,LHR Heathrow,1 stop,AMS
